iter	Passed	Remaining
0	0	85
1	1	88
2	2	96
3	4	103
4	5	105
5	6	109
6	8	111
7	10	116
8	12	121
9	13	123
10	15	121
11	16	120
12	17	118
13	18	115
14	19	112
15	20	108
16	21	105
17	22	102
18	23	99
19	24	96
20	25	95
21	26	92
22	26	90
23	27	87
24	28	85
25	29	83
26	30	81
27	31	79
28	31	78
29	32	76
30	33	74
31	35	74
32	36	73
33	37	72
34	38	70
35	38	68
36	39	67
37	40	66
38	41	64
39	42	63
40	43	62
41	44	60
42	44	59
43	45	58
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	57	43
57	58	42
58	59	41
59	60	40
60	61	39
61	61	37
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	76	19
80	77	18
81	78	17
82	79	16
83	80	15
84	81	14
85	82	13
86	83	12
87	83	11
88	84	10
89	85	9
90	86	8
91	87	7
92	87	6
93	88	5
94	89	4
95	90	3
96	90	2
97	91	1
98	92	0
99	93	0
