iter	Passed	Remaining
0	158	158438
1	160	80177
2	162	53908
3	163	40759
4	166	33101
5	168	27895
6	169	24114
7	171	21292
8	173	19083
9	174	17322
10	176	15827
11	176	14557
12	177	13488
13	178	12594
14	180	11865
15	181	11178
16	182	10572
17	184	10049
18	185	9559
19	186	9122
20	186	8714
21	187	8343
22	188	8008
23	189	7698
24	190	7416
25	191	7155
26	191	6908
27	192	6683
28	193	6467
29	193	6265
30	195	6112
31	196	5953
32	198	5807
33	199	5660
34	200	5521
35	201	5384
36	201	5255
37	202	5129
38	203	5010
39	204	4902
40	204	4794
41	205	4691
42	206	4602
43	207	4509
44	208	4419
45	208	4332
46	210	4259
47	211	4190
48	212	4126
49	214	4067
50	214	4000
51	215	3936
52	216	3873
53	217	3809
54	218	3760
55	219	3702
56	220	3648
57	221	3595
58	222	3546
59	223	3499
60	225	3469
61	227	3437
62	228	3402
63	229	3357
64	230	3317
65	231	3277
66	232	3237
67	233	3198
68	234	3159
69	234	3120
70	235	3084
71	236	3048
72	238	3022
73	239	3001
74	242	2995
75	243	2963
76	244	2932
77	245	2902
78	246	2872
79	247	2842
80	248	2814
81	248	2785
82	249	2754
83	250	2726
84	250	2700
85	251	2673
86	252	2647
87	254	2634
88	255	2615
89	256	2594
90	257	2575
91	258	2555
92	260	2536
93	261	2516
94	262	2497
95	263	2478
96	264	2460
97	265	2443
98	266	2424
99	267	2410
100	269	2394
101	270	2383
102	271	2366
103	272	2348
104	273	2333
105	275	2319
106	275	2302
107	276	2286
108	278	2272
109	279	2261
110	280	2248
111	282	2237
112	283	2225
113	285	2219
114	286	2206
115	287	2193
116	288	2178
117	289	2165
118	290	2152
119	291	2139
120	292	2126
121	293	2113
122	294	2099
123	295	2086
124	296	2077
125	298	2068
126	300	2062
127	301	2054
128	303	2047
129	304	2035
130	304	2022
131	305	2010
132	306	1998
133	307	1986
134	308	1978
135	309	1967
136	310	1955
137	312	1948
138	313	1940
139	314	1933
140	315	1923
141	316	1911
142	317	1903
143	318	1893
144	319	1883
145	320	1874
146	322	1868
147	322	1859
148	323	1849
149	324	1839
150	325	1829
151	327	1824
152	328	1818
153	329	1811
154	331	1804
155	332	1796
156	333	1788
157	333	1779
158	334	1771
159	335	1763
160	336	1754
161	337	1746
162	338	1738
163	339	1730
164	341	1729
165	343	1726
166	345	1721
167	346	1715
168	347	1708
169	348	1703
170	350	1697
171	351	1691
172	352	1686
173	354	1680
174	356	1679
175	357	1675
176	359	1671
177	361	1668
178	362	1663
179	363	1657
180	365	1652
181	366	1647
182	368	1643
183	369	1640
184	371	1636
185	373	1634
186	374	1630
187	376	1624
188	378	1624
189	379	1619
190	381	1614
191	382	1608
192	384	1607
193	385	1603
194	388	1601
195	389	1599
196	391	1597
197	394	1596
198	402	1618
199	404	1616
200	405	1612
201	407	1611
202	409	1608
203	410	1602
204	420	1629
205	421	1625
206	423	1621
207	424	1616
208	425	1610
209	426	1605
210	428	1602
211	430	1599
212	432	1596
213	433	1591
214	434	1587
215	436	1585
216	438	1580
217	439	1575
218	440	1570
219	442	1567
220	444	1565
221	445	1561
222	447	1558
223	448	1555
224	450	1551
225	452	1548
226	455	1550
227	459	1554
228	461	1553
229	462	1549
230	464	1545
231	482	1596
232	483	1591
233	484	1585
234	501	1634
235	503	1630
236	504	1625
237	506	1620
238	506	1614
239	507	1608
240	509	1603
241	512	1606
242	517	1611
243	519	1610
244	521	1607
245	523	1603
246	524	1598
247	525	1594
248	527	1589
249	528	1584
250	529	1580
251	530	1574
252	531	1568
253	532	1563
254	533	1557
255	534	1552
256	535	1547
257	535	1541
258	536	1535
259	537	1530
260	538	1524
261	540	1522
262	541	1518
263	543	1514
264	544	1510
265	546	1507
266	547	1504
267	549	1500
268	550	1496
269	551	1491
270	552	1487
271	556	1488
272	557	1485
273	559	1482
274	560	1478
275	561	1474
276	563	1469
277	564	1466
278	566	1462
279	567	1458
280	570	1458
281	571	1455
282	572	1451
283	574	1447
284	575	1442
285	575	1437
286	576	1432
287	577	1427
288	578	1422
289	578	1417
290	579	1412
291	580	1408
292	581	1404
293	582	1399
294	583	1395
295	584	1390
296	585	1386
297	586	1382
298	587	1377
299	588	1373
300	589	1369
301	590	1364
302	591	1360
303	592	1356
304	593	1352
305	594	1348
306	595	1343
307	596	1339
308	596	1334
309	597	1329
310	598	1326
311	599	1322
312	600	1318
313	601	1314
314	602	1310
315	603	1306
316	604	1301
317	604	1297
318	605	1293
319	606	1288
320	607	1284
321	608	1280
322	608	1276
323	609	1272
324	610	1267
325	611	1263
326	612	1261
327	614	1258
328	615	1254
329	616	1250
330	616	1246
331	617	1242
332	618	1238
333	619	1234
334	620	1231
335	621	1227
336	621	1223
337	622	1219
338	623	1215
339	624	1211
340	624	1207
341	625	1203
342	626	1199
343	628	1199
344	629	1195
345	630	1192
346	631	1189
347	632	1185
348	633	1181
349	634	1177
350	635	1174
351	635	1170
352	636	1166
353	637	1162
354	638	1159
355	638	1155
356	639	1151
357	640	1148
358	642	1146
359	643	1143
360	644	1140
361	644	1136
362	646	1133
363	646	1130
364	647	1126
365	648	1123
366	649	1119
367	649	1116
368	650	1112
369	651	1109
370	652	1106
371	653	1102
372	654	1099
373	654	1096
374	655	1092
375	656	1090
376	657	1087
377	659	1084
378	659	1081
379	660	1077
380	661	1074
381	662	1071
382	662	1068
383	663	1064
384	664	1061
385	665	1058
386	665	1054
387	666	1051
388	667	1048
389	668	1045
390	669	1042
391	670	1039
392	673	1039
